,education_attained,enrollment_status,age,sample_weight,employed
699,21,0,29.0,21.0,1
700,21,0,29.0,26.0,1
701,18,0,25.0,8.0,1
702,06,1,8.0,3.0,1
703,04,0,6.0,4.0,1
704,21,0,2.0,3.0,1
705,19,0,19.0,6.0,1
706,16,0,36.0,86.0,1
707,07,0,10.0,56.0,1
708,01,0,3.0,63.0,1
709,13,0,33.0,73.0,1
710,16,0,19.0,40.0,1
711,21,0,71.0,49.0,1
712,16,0,65.0,17.0,1
713,01,0,61.0,13.0,1
714,22,0,70.0,24.0,1
715,24,0,55.0,22.0,1
716,24,0,37.0,14.0,1
717,21,0,40.0,18.0,1
718,21,0,44.0,15.0,1
719,21,0,43.0,14.0,1
720,15,0,42.0,16.0,1
721,20,0,35.0,17.0,1
722,21,0,0.0,14.0,1
723,15,0,60.0,15.0,1
724,16,0,33.0,10.0,1
725,16,0,32.0,15.0,1
726,05,0,8.0,14.0,1
727,01,0,4.0,13.0,1
728,21,0,27.0,12.0,1
729,21,0,64.0,23.0,1
730,19,0,31.0,30.0,1
731,19,0,22.0,2.0,1
732,12,0,37.0,4.0,1
733,11,0,40.0,4.0,1
734,12,0,16.0,4.0,1
735,04,0,7.0,4.0,1
736,01,0,6.0,3.0,1
737,12,0,24.0,7.0,1
738,21,0,43.0,15.0,1
739,20,0,44.0,14.0,1
740,06,0,9.0,12.0,1
741,03,0,6.0,12.0,1
742,22,0,58.0,10.0,1
743,21,0,30.0,72.0,1
744,16,0,84.0,88.0,1
745,17,0,27.0,4.0,1
746,05,0,8.0,5.0,1
747,03,0,6.0,4.0,1
748,21,0,2.0,5.0,1
749,21,0,1.0,5.0,1
750,22,0,60.0,21.0,1
751,16,0,54.0,22.0,1
752,14,0,23.0,25.0,1
753,21,0,2.0,18.0,1
754,16,0,26.0,26.0,1
755,16,0,29.0,23.0,1
756,01,0,3.0,30.0,1
757,21,0,0.0,28.0,1
758,17,0,20.0,15.0,1
759,01,0,41.0,14.0,1
760,17,0,18.0,12.0,1
761,13,0,15.0,15.0,1
762,16,0,77.0,16.0,1
763,16,0,74.0,11.0,1
764,16,0,25.0,4.0,1
765,15,0,66.0,19.0,1
766,15,0,18.0,19.0,1
767,14,0,18.0,18.0,1
768,16,0,47.0,26.0,1
769,21,0,34.0,45.0,1
770,21,0,0.0,2.0,1
771,21,0,54.0,14.0,1
772,21,0,94.0,3.0,1
773,17,0,50.0,16.0,0
774,16,0,84.0,17.0,1
775,22,0,49.0,12.0,1
776,22,0,49.0,11.0,1
777,20,0,26.0,21.0,1
778,19,0,35.0,24.0,1
779,03,0,5.0,26.0,1
780,19,0,38.0,2.0,1
781,20,0,53.0,24.0,1
782,17,0,25.0,22.0,1
783,03,0,6.0,14.0,1
784,22,0,56.0,18.0,1
785,22,0,53.0,20.0,1
786,22,0,42.0,16.0,0
787,22,0,47.0,17.0,0
788,06,0,9.0,15.0,1
789,21,0,25.0,18.0,1
790,16,0,33.0,14.0,1
791,21,0,57.0,23.0,1
792,21,1,55.0,22.0,1
793,21,0,52.0,15.0,1
794,22,0,51.0,14.0,1
795,19,0,19.0,17.0,1
796,12,0,15.0,12.0,1
797,21,0,26.0,14.0,1
798,20,0,28.0,15.0,1
799,21,0,23.0,16.0,1
800,16,0,63.0,17.0,1
801,21,0,61.0,17.0,1
802,21,0,54.0,15.0,1
803,19,0,60.0,15.0,1
804,21,0,41.0,15.0,1
805,21,0,48.0,13.0,1
806,03,0,6.0,13.0,1
807,02,0,4.0,17.0,1
808,16,0,61.0,8.0,1
809,21,0,31.0,17.0,1
810,20,0,30.0,26.0,1
811,18,0,47.0,17.0,1
812,16,0,52.0,16.0,1
813,20,0,47.0,19.0,0
814,20,0,46.0,21.0,0
815,16,0,23.0,18.0,1
816,19,0,21.0,18.0,1
817,16,0,44.0,85.0,1
818,16,0,41.0,77.0,1
819,16,0,18.0,117.0,1
820,11,0,14.0,77.0,1
821,07,0,10.0,78.0,1
822,13,1,16.0,4.0,1
823,19,0,23.0,118.0,1
824,12,0,37.0,11.0,1
825,19,0,59.0,15.0,1
826,18,0,60.0,15.0,0
827,15,0,55.0,25.0,1
828,16,0,34.0,28.0,1
829,18,0,47.0,28.0,1
830,21,0,42.0,73.0,1
831,21,0,38.0,64.0,1
832,06,0,9.0,66.0,1
833,04,0,8.0,66.0,1
834,03,0,6.0,59.0,1
835,20,0,51.0,42.0,1
836,19,0,68.0,21.0,1
837,21,0,51.0,25.0,1
838,19,0,40.0,22.0,1
839,19,0,44.0,29.0,1
840,15,0,18.0,43.0,1
841,08,0,11.0,20.0,1
842,19,0,57.0,18.0,0
843,19,0,59.0,18.0,1
844,16,1,32.0,8.0,1
845,18,1,19.0,19.0,1
846,22,1,38.0,16.0,1
847,21,0,48.0,22.0,0
848,21,0,45.0,28.0,0
849,16,0,66.0,22.0,1
850,22,0,81.0,21.0,1
851,21,0,32.0,10.0,1
852,21,0,35.0,12.0,1
853,22,0,23.0,18.0,1
854,19,0,66.0,24.0,1
855,21,0,66.0,18.0,1
856,20,0,23.0,20.0,1
857,21,0,67.0,21.0,1
858,03,0,5.0,15.0,1
859,21,0,1.0,15.0,1
860,20,0,35.0,24.0,1
861,21,0,41.0,13.0,1
862,18,0,36.0,12.0,1
863,18,0,77.0,26.0,1
864,18,0,83.0,23.0,1
865,20,0,59.0,14.0,1
866,19,1,33.0,9.0,0
